Date,Adj Close
2/1/2015,13.34
3/1/2015,15.29
4/1/2015,14.55
5/1/2015,13.84
6/1/2015,18.23
7/1/2015,12.12
8/1/2015,28.43
9/1/2015,24.5
10/1/2015,15.07
11/1/2015,16.13
12/1/2015,18.21
1/1/2016,20.2
2/1/2016,20.55
3/1/2016,13.95
4/1/2016,15.7
5/1/2016,14.19
6/1/2016,15.63
7/1/2016,11.87
8/1/2016,13.42
9/1/2016,13.29
10/1/2016,17.06
11/1/2016,13.33
12/1/2016,14.04
1/1/2017,11.99
2/1/2017,12.92
3/1/2017,12.37
4/1/2017,10.82
5/1/2017,10.41
6/1/2017,11.18
7/1/2017,10.26
8/1/2017,10.59
9/1/2017,9.51
10/1/2017,10.18
11/1/2017,11.28
12/1/2017,11.04
1/1/2018,13.54
2/1/2018,19.85
3/1/2018,19.97
4/1/2018,15.93
5/1/2018,15.43
6/1/2018,16.09
7/1/2018,12.83
8/1/2018,12.86
9/1/2018,12.12
10/1/2018,21.23
